"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.063079912E0,7.063920021E0,-1.131160736E1,1.695246887E1
1.068076787E0,6.629944801E0,-1.208327198E1,1.453396893E1
1.073073662E0,5.179752350E0,-1.157017326E1,1.203976631E1
1.078070537E0,3.685910463E0,-1.011995602E1,9.055961609E0
1.083067412E0,2.737265110E0,-7.969376564E0,6.571105003E0
1.088064287E0,2.551090717E0,-5.571790695E0,5.140594482E0
1.093061162E0,2.313719749E0,-3.214436531E0,3.973974228E0
1.098058037E0,1.828039050E0,-9.905118942E-1,3.799514532E0
1.103054912E0,5.827025175E-1,2.181816101E-1,4.263941765E0
1.108051787E0,-1.017290592E0,6.576051712E-1,4.197470188E0
1.113048662E0,-2.834287643E0,2.603712082E-1,3.463467598E0
1.118047204E0,-4.298913002E0,-7.049446106E-1,2.784518957E0
1.123043245E0,-4.834998608E0,-2.384095192E0,1.865589380E0
1.128038037E0,-4.806268692E0,-4.564867973E0,6.499507427E-1
1.133032829E0,-3.933571339E0,-6.693426132E0,-3.306512833E-1
1.138027620E0,-3.080150604E0,-8.527483940E0,-1.029802799E0
1.143022620E0,-3.146499157E0,-1.003612041E1,-7.911351919E-1
1.148017881E0,-2.915750980E0,-1.071356392E1,8.435826302E-1
1.153013402E0,-2.436145544E0,-1.080661964E1,2.374733686E0
1.158009183E0,-1.429371119E0,-9.627624512E0,4.630579948E0
1.163005433E0,-1.764043927E0,-8.179076195E0,3.629858494E0
1.168002204E0,-2.734878063E0,-6.041543007E0,-8.408999443E-1
1.172999287E0,-2.413569927E0,-3.541299820E0,-4.855566978E0
1.177996631E0,-8.985553384E-1,-7.795867920E-1,-7.424784184E0
1.182994235E0,2.618837357E-2,2.067440033E0,-1.043242741E1
1.187992100E0,-1.130928516E0,4.350281239E0,-1.282936382E1
1.192990225E0,-2.628880501E0,5.364730835E0,-1.378222466E1
1.197988610E0,-3.676836491E0,5.820186615E0,-1.379483986E1
1.202987048E0,-4.496372700E0,6.295954227E0,-1.285811996E1
1.207985485E0,-5.468529224E0,6.575860023E0,-1.140377045E1
1.212983923E0,-6.356005192E0,6.031891823E0,-8.692054749E0
1.217982360E0,-7.332323551E0,5.258906841E0,-5.420990944E0
1.222980381E0,-8.246901512E0,4.730338573E0,-3.235981464E0
1.227977464E0,-8.693620682E0,4.003706455E0,-1.814152122E0
1.232974339E0,-8.849802017E0,3.518732071E0,-1.044024467E0
1.237971214E0,-8.456175804E0,3.296146393E0,-2.098633528E0
1.242968089E0,-7.893086433E0,2.802306652E0,-3.260893822E0
1.247964964E0,-6.977947235E0,2.275835991E0,-3.531922102E0
1.252961839E0,-5.916951656E0,1.515443325E0,-3.589628696E0
1.257958714E0,-4.681140900E0,9.268569946E-1,-3.758987904E0
1.262955589E0,-2.746076822E0,8.305797577E-1,-4.772165298E0
1.267952464E0,-1.223572969E0,5.200138092E-1,-5.027082443E0
1.272949339E0,-8.245580792E-1,1.149806976E-1,-4.704217911E0
1.277946214E0,-1.021584988E0,-3.218727112E-1,-4.688560009E0
1.282943089E0,-1.661291242E0,-1.040503502E0,-4.755746841E0
1.287939964E0,-1.873140574E0,-1.452327728E0,-4.991469860E0
1.292936839E0,-1.866969109E0,-1.703631401E0,-5.115056038E0
1.297933714E0,-1.455701113E0,-1.935112953E0,-5.140689850E0
1.302930589E0,-5.580803156E-1,-2.105430603E0,-5.254943848E0
1.307927464E0,4.931794405E-1,-2.209320068E0,-5.433081627E0
1.312924339E0,2.111490488E0,-2.570949554E0,-6.116618156E0
1.317921214E0,4.036369324E0,-3.046064377E0,-6.551540375E0
1.322918089E0,6.054284573E0,-3.651236534E0,-6.503266335E0
1.327914964E0,8.436115265E0,-4.002743721E0,-6.191261292E0
1.332911839E0,1.072334480E1,-4.148015976E0,-5.196493626E0
1.337908714E0,1.271126652E1,-4.334856033E0,-3.506639957E0
1.342905589E0,1.413966751E1,-4.287091255E0,-1.964146137E0
1.347902464E0,1.420685577E1,-3.776852608E0,-9.184068441E-1
1.352899339E0,1.266434956E1,-2.734189034E0,8.793443441E-2
1.357896214E0,9.926207542E0,-1.366027832E0,7.572849393E-1
1.362893089E0,7.236263275E0,-2.627553940E-1,1.445818186E0
1.367891423E0,4.870911121E0,1.210460663E-1,2.143547535E0
1.372887829E0,2.857159376E0,1.558666229E-1,2.502110720E0
1.377882881E0,1.364257097E0,-1.138458252E-1,2.371074915E0
1.382877933E0,6.511878967E-2,-2.499742508E-1,1.894932866E0
1.387872985E0,-1.143865585E0,-4.031524658E-1,1.154652953E0
1.392868245E0,-2.474848270E0,-6.971092224E-1,1.255830765E0
1.397863766E0,-3.864799976E0,-8.278074265E-1,1.353937149E0
1.402859548E0,-5.002547264E0,-8.383655548E-1,1.262058377E0
1.407855589E0,-5.961910725E0,-7.194347382E-1,1.024242401E0
1.412851891E0,-6.081518173E0,-7.699041367E-1,1.534198999E0
1.417848454E0,-5.423327446E0,-1.218414307E0,2.218124151E0
1.422845277E0,-4.333086967E0,-1.741504669E0,2.424655437E0
1.427842360E0,-3.334232330E0,-2.140998840E0,2.337764263E0
1.432839704E0,-2.524389744E0,-2.369395256E0,2.445530891E0
1.437837308E0,-2.581486225E0,-2.476864815E0,2.868233681E0
1.442835173E0,-2.715667009E0,-2.188881874E0,3.204200745E0
1.447833298E0,-1.871158838E0,-1.175232887E0,3.850407362E0
1.452831475E0,3.665373623E-1,-4.606628418E-1,3.486102581E0
1.457829652E0,2.015199661E0,-1.572820663E0,3.162158489E0
1.462827829E0,3.635468245E0,-2.358363152E0,2.331638098E0
1.467826006E0,6.074346066E0,-1.277401924E0,2.351191282E0
1.472824183E0,7.172951221E0,-1.690778732E-1,1.716003180E0
1.477821943E0,6.993426800E0,1.093403816E0,1.655459642E0
1.482818975E0,4.131909370E0,6.503658295E-1,1.358016253E0
1.487815850E0,2.982908010E0,1.723458290E0,1.781310558E0
1.492812725E0,1.255953312E0,2.344964981E0,1.479296327E0
1.497809600E0,-3.808636665E-1,2.721179485E0,1.013425469E0
1.502806475E0,-1.820329905E0,3.081447601E0,5.361169577E-1
1.507803350E0,-3.162790060E0,2.828719616E0,2.382454872E-1
1.512800225E0,-3.186504602E0,3.251385212E0,1.048793793E-1
1.517797100E0,-3.725848198E0,2.630625725E0,6.999588013E-2
1.522793975E0,-2.664155960E0,3.563540936E0,6.288377047E-1
1.527790850E0,-2.037756920E0,4.201873779E0,8.499749899E-1
1.532787725E0,-2.167041302E0,4.160317898E0,1.252032280E0
1.537784600E0,-1.335484505E0,4.795758247E0,1.365231633E0
1.542781475E0,-4.230058193E-1,5.137169838E0,1.148931742E0
1.547778350E0,-2.095184326E-1,5.009482384E0,6.133965254E-1
1.552775225E0,4.007673264E-2,4.808781147E0,-2.720729113E-1
1.557772100E0,6.888891459E-1,4.776463032E0,-1.362005472E0
1.562768975E0,8.579790592E-1,4.692567348E0,-1.852467060E0
1.567765850E0,7.485133410E-1,4.261553764E0,-1.714455843E0
1.572762725E0,1.142117262E0,3.707530975E0,-1.057936192E0
1.577759600E0,2.502604485E0,3.525654793E0,-9.997868538E-2
1.582756475E0,2.818442583E0,2.280035496E0,5.734406710E-1
1.587753350E0,3.395803928E0,1.537723541E0,1.482048512E0
1.592750225E0,3.131571293E0,2.963981628E-1,2.257729292E0
1.597747100E0,3.723649740E0,1.480636597E-1,3.419434786E0
1.602743975E0,3.878564358E0,-6.092023849E-1,3.950277805E0
1.607740850E0,4.415192604E0,-1.127780914E0,4.552486420E0
1.612737725E0,6.033853531E0,-1.347801208E0,4.910705566E0
1.617736683E0,7.548655510E0,-1.681298256E0,4.767139435E0
1.622732725E0,8.133730888E0,-2.276392937E0,4.191230774E0
1.627727256E0,8.632822990E0,-2.404035568E0,3.737878323E0
1.632721787E0,9.123001099E0,-2.287768364E0,3.319701195E0
1.637716527E0,9.670089722E0,-1.999619484E0,2.961878061E0
1.642711527E0,1.007794762E1,-1.637850761E0,2.720172644E0
1.647706787E0,1.013963699E1,-1.486971855E0,2.746048212E0
1.652702308E0,9.995669365E0,-1.324442863E0,3.094909906E0
1.657698298E0,9.174741745E0,-1.199073792E0,3.213988781E0
1.662694808E0,7.958139896E0,-1.262195587E0,2.980896473E0
1.667691839E0,7.496066093E0,-1.556928635E0,2.618151903E0
1.672689183E0,7.328774929E0,-1.904546738E0,1.689125896E0
1.677686787E0,6.325484753E0,-2.431847572E0,1.007193804E0
1.682684652E0,5.372278214E0,-2.932003975E0,2.180897474E0
